,uncertainty,access,observation,condition,generated_answer,generated_answer_logprob
619,low,10,10,1,certainly not,-2.192342281
620,low,10,10,1,certainly not,-2.192342281
631,low,10,10,1,certainly not,-2.192342281
637,low,10,10,1,certainly not,-2.192342281
649,low,10,10,1,certainly not,-2.192342281
658,low,10,10,1,certainly not,-2.192342281
664,low,10,10,1,certainly not,-2.192342281
665,low,10,10,1,certainly not,-2.192342281
687,low,10,10,1,certainly not,-2.192342281
688,low,10,10,1,certainly not,-2.192342281
702,high,2,0,0,certainly not,-2.56377244
722,high,2,0,0,certainly not,-2.56377244
737,high,2,0,0,certainly not,-2.56377244
745,high,2,0,0,certainly not,-2.56377244
753,high,2,0,0,certainly not,-2.56377244
767,high,2,0,0,certainly not,-2.56377244
773,high,2,0,0,certainly not,-2.56377244
776,high,2,0,0,certainly not,-2.56377244
777,high,2,0,0,certainly not,-2.56377244
782,high,2,0,0,certainly not,-2.56377244
790,high,2,0,0,certainly not,-2.56377244
813,high,4,1,0.25,certainly not,-2.244152784
817,high,4,1,0.25,certainly not,-2.244152784
819,high,4,1,0.25,certainly not,-2.244152784
824,high,4,1,0.25,certainly not,-2.244152784
827,high,4,1,0.25,certainly not,-2.244152784
832,high,4,1,0.25,certainly not,-2.244152784
838,high,4,1,0.25,certainly not,-2.244152784
839,high,4,1,0.25,certainly not,-2.244152784
840,high,4,1,0.25,certainly not,-2.244152784
855,high,4,1,0.25,certainly not,-2.244152784
861,high,4,1,0.25,certainly not,-2.244152784
870,high,4,1,0.25,certainly not,-2.244152784
887,high,4,1,0.25,certainly not,-2.244152784
892,high,4,1,0.25,certainly not,-2.244152784
900,high,3,1,0.33,certainly not,-2.244427204
903,high,3,1,0.33,certainly not,-2.244427204
905,high,3,1,0.33,certainly not,-2.244427204
913,high,3,1,0.33,certainly not,-2.244427204
921,high,3,1,0.33,certainly not,-2.244427204
922,high,3,1,0.33,certainly not,-2.244427204
939,high,3,1,0.33,certainly not,-2.244427204
940,high,3,1,0.33,certainly not,-2.244427204
942,high,3,1,0.33,certainly not,-2.244427204
957,high,3,1,0.33,certainly not,-2.244427204
965,high,3,1,0.33,certainly not,-2.244427204
966,high,3,1,0.33,certainly not,-2.244427204
970,high,3,1,0.33,certainly not,-2.244427204
972,high,3,1,0.33,certainly not,-2.244427204
990,high,3,1,0.33,certainly not,-2.244427204
1003,high,4,2,0.5,certainly not,-2.215316296
1018,high,4,2,0.5,certainly not,-2.215316296
1023,high,4,2,0.5,certainly not,-2.215316296
1025,high,4,2,0.5,certainly not,-2.215316296
1029,high,4,2,0.5,certainly not,-2.215316296
1045,high,4,2,0.5,certainly not,-2.215316296
1060,high,4,2,0.5,certainly not,-2.215316296
1069,high,4,2,0.5,certainly not,-2.215316296
1077,high,4,2,0.5,certainly not,-2.215316296
1084,high,4,2,0.5,certainly not,-2.215316296
1091,high,4,2,0.5,certainly not,-2.215316296
1096,high,4,2,0.5,certainly not,-2.215316296
1101,high,3,2,0.67,certainly not,-2.193197727
1111,high,3,2,0.67,certainly not,-2.193197727
1115,high,3,2,0.67,certainly not,-2.193197727
1122,high,3,2,0.67,certainly not,-2.193197727
1133,high,3,2,0.67,certainly not,-2.193197727
1136,high,3,2,0.67,certainly not,-2.193197727
1150,high,3,2,0.67,certainly not,-2.193197727
1156,high,3,2,0.67,certainly not,-2.193197727
1161,high,3,2,0.67,certainly not,-2.193197727
1163,high,3,2,0.67,certainly not,-2.193197727
1176,high,3,2,0.67,certainly not,-2.193197727
1181,high,3,2,0.67,certainly not,-2.193197727
1186,high,3,2,0.67,certainly not,-2.193197727
1196,high,3,2,0.67,certainly not,-2.193197727
1202,high,4,3,0.75,certainly not,-2.157515526
1204,high,4,3,0.75,certainly not,-2.157515526
1207,high,4,3,0.75,certainly not,-2.157515526
1217,high,4,3,0.75,certainly not,-2.157515526
1244,high,4,3,0.75,certainly not,-2.157515526
1250,high,4,3,0.75,certainly not,-2.157515526
1257,high,4,3,0.75,certainly not,-2.157515526
1263,high,4,3,0.75,certainly not,-2.157515526
1287,high,4,3,0.75,certainly not,-2.157515526
1290,high,4,3,0.75,certainly not,-2.157515526
1300,high,2,2,1,certainly not,-2.307080507
1306,high,2,2,1,certainly not,-2.307080507
1315,high,2,2,1,certainly not,-2.307080507
1317,high,2,2,1,certainly not,-2.307080507
1318,high,2,2,1,certainly not,-2.307080507
1340,high,2,2,1,certainly not,-2.307080507
1341,high,2,2,1,certainly not,-2.307080507
1362,high,2,2,1,certainly not,-2.307080507
1378,high,2,2,1,certainly not,-2.307080507
1391,high,2,2,1,certainly not,-2.307080507
1,low,10,0,0,probably not,-0.376544893
3,low,10,0,0,probably not,-0.376544893
4,low,10,0,0,probably not,-0.376544893
5,low,10,0,0,probably not,-0.376544893
6,low,10,0,0,probably not,-0.376544893
8,low,10,0,0,probably not,-0.376544893
9,low,10,0,0,probably not,-0.376544893
11,low,10,0,0,probably not,-0.376544893
12,low,10,0,0,probably not,-0.376544893
14,low,10,0,0,probably not,-0.376544893
15,low,10,0,0,probably not,-0.376544893
18,low,10,0,0,probably not,-0.376544893
19,low,10,0,0,probably not,-0.376544893
20,low,10,0,0,probably not,-0.376544893
21,low,10,0,0,probably not,-0.376544893
22,low,10,0,0,probably not,-0.376544893
24,low,10,0,0,probably not,-0.376544893
26,low,10,0,0,probably not,-0.376544893
27,low,10,0,0,probably not,-0.376544893
29,low,10,0,0,probably not,-0.376544893
30,low,10,0,0,probably not,-0.376544893
31,low,10,0,0,probably not,-0.376544893
32,low,10,0,0,probably not,-0.376544893
34,low,10,0,0,probably not,-0.376544893
36,low,10,0,0,probably not,-0.376544893
37,low,10,0,0,probably not,-0.376544893
38,low,10,0,0,probably not,-0.376544893
40,low,10,0,0,probably not,-0.376544893
43,low,10,0,0,probably not,-0.376544893
44,low,10,0,0,probably not,-0.376544893
45,low,10,0,0,probably not,-0.376544893
46,low,10,0,0,probably not,-0.376544893
47,low,10,0,0,probably not,-0.376544893
49,low,10,0,0,probably not,-0.376544893
50,low,10,0,0,probably not,-0.376544893
52,low,10,0,0,probably not,-0.376544893
53,low,10,0,0,probably not,-0.376544893
56,low,10,0,0,probably not,-0.376544893
57,low,10,0,0,probably not,-0.376544893
59,low,10,0,0,probably not,-0.376544893
60,low,10,0,0,probably not,-0.376544893
61,low,10,0,0,probably not,-0.376544893
62,low,10,0,0,probably not,-0.376544893
63,low,10,0,0,probably not,-0.376544893
64,low,10,0,0,probably not,-0.376544893
65,low,10,0,0,probably not,-0.376544893
69,low,10,0,0,probably not,-0.376544893
70,low,10,0,0,probably not,-0.376544893
71,low,10,0,0,probably not,-0.376544893
74,low,10,0,0,probably not,-0.376544893
77,low,10,0,0,probably not,-0.376544893
78,low,10,0,0,probably not,-0.376544893
79,low,10,0,0,probably not,-0.376544893
80,low,10,0,0,probably not,-0.376544893
81,low,10,0,0,probably not,-0.376544893
83,low,10,0,0,probably not,-0.376544893
84,low,10,0,0,probably not,-0.376544893
85,low,10,0,0,probably not,-0.376544893
86,low,10,0,0,probably not,-0.376544893
87,low,10,0,0,probably not,-0.376544893
89,low,10,0,0,probably not,-0.376544893
90,low,10,0,0,probably not,-0.376544893
91,low,10,0,0,probably not,-0.376544893
92,low,10,0,0,probably not,-0.376544893
93,low,10,0,0,probably not,-0.376544893
94,low,10,0,0,probably not,-0.376544893
96,low,10,0,0,probably not,-0.376544893
97,low,10,0,0,probably not,-0.376544893
98,low,10,0,0,probably not,-0.376544893
103,low,8,2,0.25,probably not,-0.596655965
105,low,8,2,0.25,probably not,-0.596655965
108,low,8,2,0.25,probably not,-0.596655965
109,low,8,2,0.25,probably not,-0.596655965
110,low,8,2,0.25,probably not,-0.596655965
111,low,8,2,0.25,probably not,-0.596655965
114,low,8,2,0.25,probably not,-0.596655965
117,low,8,2,0.25,probably not,-0.596655965
118,low,8,2,0.25,probably not,-0.596655965
120,low,8,2,0.25,probably not,-0.596655965
121,low,8,2,0.25,probably not,-0.596655965
123,low,8,2,0.25,probably not,-0.596655965
124,low,8,2,0.25,probably not,-0.596655965
126,low,8,2,0.25,probably not,-0.596655965
127,low,8,2,0.25,probably not,-0.596655965
128,low,8,2,0.25,probably not,-0.596655965
130,low,8,2,0.25,probably not,-0.596655965
131,low,8,2,0.25,probably not,-0.596655965
132,low,8,2,0.25,probably not,-0.596655965
133,low,8,2,0.25,probably not,-0.596655965
135,low,8,2,0.25,probably not,-0.596655965
136,low,8,2,0.25,probably not,-0.596655965
137,low,8,2,0.25,probably not,-0.596655965
138,low,8,2,0.25,probably not,-0.596655965
140,low,8,2,0.25,probably not,-0.596655965
141,low,8,2,0.25,probably not,-0.596655965
144,low,8,2,0.25,probably not,-0.596655965
146,low,8,2,0.25,probably not,-0.596655965
147,low,8,2,0.25,probably not,-0.596655965
148,low,8,2,0.25,probably not,-0.596655965
149,low,8,2,0.25,probably not,-0.596655965
151,low,8,2,0.25,probably not,-0.596655965
155,low,8,2,0.25,probably not,-0.596655965
157,low,8,2,0.25,probably not,-0.596655965
158,low,8,2,0.25,probably not,-0.596655965
161,low,8,2,0.25,probably not,-0.596655965
164,low,8,2,0.25,probably not,-0.596655965
165,low,8,2,0.25,probably not,-0.596655965
166,low,8,2,0.25,probably not,-0.596655965
169,low,8,2,0.25,probably not,-0.596655965
170,low,8,2,0.25,probably not,-0.596655965
171,low,8,2,0.25,probably not,-0.596655965
172,low,8,2,0.25,probably not,-0.596655965
173,low,8,2,0.25,probably not,-0.596655965
174,low,8,2,0.25,probably not,-0.596655965
177,low,8,2,0.25,probably not,-0.596655965
178,low,8,2,0.25,probably not,-0.596655965
180,low,8,2,0.25,probably not,-0.596655965
181,low,8,2,0.25,probably not,-0.596655965
182,low,8,2,0.25,probably not,-0.596655965
184,low,8,2,0.25,probably not,-0.596655965
185,low,8,2,0.25,probably not,-0.596655965
188,low,8,2,0.25,probably not,-0.596655965
190,low,8,2,0.25,probably not,-0.596655965
191,low,8,2,0.25,probably not,-0.596655965
192,low,8,2,0.25,probably not,-0.596655965
195,low,8,2,0.25,probably not,-0.596655965
196,low,8,2,0.25,probably not,-0.596655965
198,low,8,2,0.25,probably not,-0.596655965
199,low,8,2,0.25,probably not,-0.596655965
200,low,9,3,0.33,probably not,-0.568889976
201,low,9,3,0.33,probably not,-0.568889976
202,low,9,3,0.33,probably not,-0.568889976
203,low,9,3,0.33,probably not,-0.568889976
204,low,9,3,0.33,probably not,-0.568889976
205,low,9,3,0.33,probably not,-0.568889976
209,low,9,3,0.33,probably not,-0.568889976
210,low,9,3,0.33,probably not,-0.568889976
211,low,9,3,0.33,probably not,-0.568889976
213,low,9,3,0.33,probably not,-0.568889976
215,low,9,3,0.33,probably not,-0.568889976
216,low,9,3,0.33,probably not,-0.568889976
217,low,9,3,0.33,probably not,-0.568889976
219,low,9,3,0.33,probably not,-0.568889976
220,low,9,3,0.33,probably not,-0.568889976
221,low,9,3,0.33,probably not,-0.568889976
223,low,9,3,0.33,probably not,-0.568889976
226,low,9,3,0.33,probably not,-0.568889976
227,low,9,3,0.33,probably not,-0.568889976
228,low,9,3,0.33,probably not,-0.568889976
230,low,9,3,0.33,probably not,-0.568889976
231,low,9,3,0.33,probably not,-0.568889976
234,low,9,3,0.33,probably not,-0.568889976
237,low,9,3,0.33,probably not,-0.568889976
238,low,9,3,0.33,probably not,-0.568889976
240,low,9,3,0.33,probably not,-0.568889976
242,low,9,3,0.33,probably not,-0.568889976
243,low,9,3,0.33,probably not,-0.568889976
245,low,9,3,0.33,probably not,-0.568889976
249,low,9,3,0.33,probably not,-0.568889976
250,low,9,3,0.33,probably not,-0.568889976
251,low,9,3,0.33,probably not,-0.568889976
252,low,9,3,0.33,probably not,-0.568889976
253,low,9,3,0.33,probably not,-0.568889976
255,low,9,3,0.33,probably not,-0.568889976
256,low,9,3,0.33,probably not,-0.568889976
257,low,9,3,0.33,probably not,-0.568889976
262,low,9,3,0.33,probably not,-0.568889976
263,low,9,3,0.33,probably not,-0.568889976
266,low,9,3,0.33,probably not,-0.568889976
267,low,9,3,0.33,probably not,-0.568889976
269,low,9,3,0.33,probably not,-0.568889976
270,low,9,3,0.33,probably not,-0.568889976
272,low,9,3,0.33,probably not,-0.568889976
273,low,9,3,0.33,probably not,-0.568889976
274,low,9,3,0.33,probably not,-0.568889976
275,low,9,3,0.33,probably not,-0.568889976
280,low,9,3,0.33,probably not,-0.568889976
281,low,9,3,0.33,probably not,-0.568889976
284,low,9,3,0.33,probably not,-0.568889976
288,low,9,3,0.33,probably not,-0.568889976
290,low,9,3,0.33,probably not,-0.568889976
294,low,9,3,0.33,probably not,-0.568889976
295,low,9,3,0.33,probably not,-0.568889976
296,low,9,3,0.33,probably not,-0.568889976
297,low,9,3,0.33,probably not,-0.568889976
298,low,9,3,0.33,probably not,-0.568889976
299,low,9,3,0.33,probably not,-0.568889976
300,low,8,4,0.5,probably not,-0.564431548
303,low,8,4,0.5,probably not,-0.564431548
305,low,8,4,0.5,probably not,-0.564431548
307,low,8,4,0.5,probably not,-0.564431548
308,low,8,4,0.5,probably not,-0.564431548
310,low,8,4,0.5,probably not,-0.564431548
316,low,8,4,0.5,probably not,-0.564431548
317,low,8,4,0.5,probably not,-0.564431548
319,low,8,4,0.5,probably not,-0.564431548
320,low,8,4,0.5,probably not,-0.564431548
322,low,8,4,0.5,probably not,-0.564431548
323,low,8,4,0.5,probably not,-0.564431548
324,low,8,4,0.5,probably not,-0.564431548
325,low,8,4,0.5,probably not,-0.564431548
327,low,8,4,0.5,probably not,-0.564431548
328,low,8,4,0.5,probably not,-0.564431548
329,low,8,4,0.5,probably not,-0.564431548
330,low,8,4,0.5,probably not,-0.564431548
332,low,8,4,0.5,probably not,-0.564431548
333,low,8,4,0.5,probably not,-0.564431548
334,low,8,4,0.5,probably not,-0.564431548
335,low,8,4,0.5,probably not,-0.564431548
336,low,8,4,0.5,probably not,-0.564431548
338,low,8,4,0.5,probably not,-0.564431548
339,low,8,4,0.5,probably not,-0.564431548
341,low,8,4,0.5,probably not,-0.564431548
343,low,8,4,0.5,probably not,-0.564431548
344,low,8,4,0.5,probably not,-0.564431548
345,low,8,4,0.5,probably not,-0.564431548
347,low,8,4,0.5,probably not,-0.564431548
348,low,8,4,0.5,probably not,-0.564431548
349,low,8,4,0.5,probably not,-0.564431548
350,low,8,4,0.5,probably not,-0.564431548
351,low,8,4,0.5,probably not,-0.564431548
353,low,8,4,0.5,probably not,-0.564431548
354,low,8,4,0.5,probably not,-0.564431548
358,low,8,4,0.5,probably not,-0.564431548
360,low,8,4,0.5,probably not,-0.564431548
362,low,8,4,0.5,probably not,-0.564431548
363,low,8,4,0.5,probably not,-0.564431548
364,low,8,4,0.5,probably not,-0.564431548
366,low,8,4,0.5,probably not,-0.564431548
367,low,8,4,0.5,probably not,-0.564431548
370,low,8,4,0.5,probably not,-0.564431548
372,low,8,4,0.5,probably not,-0.564431548
374,low,8,4,0.5,probably not,-0.564431548
375,low,8,4,0.5,probably not,-0.564431548
377,low,8,4,0.5,probably not,-0.564431548
378,low,8,4,0.5,probably not,-0.564431548
379,low,8,4,0.5,probably not,-0.564431548
380,low,8,4,0.5,probably not,-0.564431548
381,low,8,4,0.5,probably not,-0.564431548
383,low,8,4,0.5,probably not,-0.564431548
384,low,8,4,0.5,probably not,-0.564431548
385,low,8,4,0.5,probably not,-0.564431548
386,low,8,4,0.5,probably not,-0.564431548
391,low,8,4,0.5,probably not,-0.564431548
392,low,8,4,0.5,probably not,-0.564431548
395,low,8,4,0.5,probably not,-0.564431548
401,low,9,6,0.67,probably not,-0.512699306
403,low,9,6,0.67,probably not,-0.512699306
404,low,9,6,0.67,probably not,-0.512699306
405,low,9,6,0.67,probably not,-0.512699306
409,low,9,6,0.67,probably not,-0.512699306
412,low,9,6,0.67,probably not,-0.512699306
413,low,9,6,0.67,probably not,-0.512699306
414,low,9,6,0.67,probably not,-0.512699306
415,low,9,6,0.67,probably not,-0.512699306
416,low,9,6,0.67,probably not,-0.512699306
418,low,9,6,0.67,probably not,-0.512699306
419,low,9,6,0.67,probably not,-0.512699306
