,uncertainty,access,observation,condition,generated_answer,generated_answer_logprob
87,low,10,0,0,others,-1.42672205
89,low,10,0,0,others,-3.99703455
90,low,10,0,0,others,-1.42672205
91,low,10,0,0,others,-3.59859705
92,low,10,0,0,others,-1.42672205
93,low,10,0,0,others,-2.65328455
94,low,10,0,0,others,-2.55172205
96,low,10,0,0,others,-1.42672205
97,low,10,0,0,others,-1.42672205
98,low,10,0,0,others,-1.42672205
100,low,8,2,0.25,others,-3.792914152
101,low,8,2,0.25,others,-3.574164152
104,low,8,2,0.25,others,-4.910101891
105,low,8,2,0.25,others,-2.566351652
106,low,8,2,0.25,others,-3.847601652
107,low,8,2,0.25,others,-3.574164152
109,low,8,2,0.25,others,-4.730414391
110,low,8,2,0.25,others,-3.011664152
111,low,8,2,0.25,others,-2.605414152
112,low,8,2,0.25,others,-4.394476891
113,low,8,2,0.25,others,-2.988226652
114,low,8,2,0.25,others,-2.605414152
115,low,8,2,0.25,others,-2.597601652
116,low,8,2,0.25,others,-1.542914152
117,low,8,2,0.25,others,-2.605414152
119,low,8,2,0.25,others,-3.910101652
120,low,8,2,0.25,others,-1.542914152
121,low,8,2,0.25,others,-2.566351652
122,low,8,2,0.25,others,-2.566351652
124,low,8,2,0.25,others,-2.597601652
125,low,8,2,0.25,others,-4.121039391
126,low,8,2,0.25,others,-2.605414152
127,low,8,2,0.25,others,-2.566351652
128,low,8,2,0.25,others,-1.542914152
129,low,8,2,0.25,others,-2.988226652
130,low,8,2,0.25,others,-1.542914152
132,low,8,2,0.25,others,-2.597601652
133,low,8,2,0.25,others,-2.566351652
134,low,8,2,0.25,others,-2.886664152
135,low,8,2,0.25,others,-3.011664152
136,low,8,2,0.25,others,-3.792914152
137,low,8,2,0.25,others,-2.597601652
138,low,8,2,0.25,others,-1.542914152
139,low,8,2,0.25,others,-2.988226652
140,low,8,2,0.25,others,-1.542914152
141,low,8,2,0.25,others,-3.011664152
142,low,8,2,0.25,others,-3.847601652
144,low,8,2,0.25,others,-3.847601652
145,low,8,2,0.25,others,-1.542914152
146,low,8,2,0.25,others,-2.566351652
147,low,8,2,0.25,others,-1.542914152
148,low,8,2,0.25,others,-2.605414152
149,low,8,2,0.25,others,-1.542914152
150,low,8,2,0.25,others,-1.542914152
152,low,8,2,0.25,others,-2.605414152
153,low,8,2,0.25,others,-2.886664152
154,low,8,2,0.25,others,-1.542914152
156,low,8,2,0.25,others,-1.542914152
157,low,8,2,0.25,others,-1.542914152
158,low,8,2,0.25,others,-3.574164152
160,low,8,2,0.25,others,-2.605414152
161,low,8,2,0.25,others,-3.574164152
162,low,8,2,0.25,others,-4.230414391
163,low,8,2,0.25,others,-2.886664152
164,low,8,2,0.25,others,-2.988226652
166,low,8,2,0.25,others,-3.011664152
167,low,8,2,0.25,others,-3.574164152
168,low,8,2,0.25,others,-1.542914152
169,low,8,2,0.25,others,-3.605414152
171,low,8,2,0.25,others,-2.605414152
172,low,8,2,0.25,others,-3.011664152
173,low,8,2,0.25,others,-2.566351652
174,low,8,2,0.25,others,-1.542914152
175,low,8,2,0.25,others,-1.542914152
176,low,8,2,0.25,others,-3.910101652
177,low,8,2,0.25,others,-2.566351652
178,low,8,2,0.25,others,-2.886664152
179,low,8,2,0.25,others,-2.597601652
181,low,8,2,0.25,others,-2.605414152
182,low,8,2,0.25,others,-4.230414391
183,low,8,2,0.25,others,-2.988226652
185,low,8,2,0.25,others,-2.605414152
186,low,8,2,0.25,others,-2.605414152
187,low,8,2,0.25,others,-2.886664152
188,low,8,2,0.25,others,-2.597601652
189,low,8,2,0.25,others,-4.527289391
190,low,8,2,0.25,others,-3.605414152
191,low,8,2,0.25,others,-2.597601652
193,low,8,2,0.25,others,-1.542914152
194,low,8,2,0.25,others,-4.675726891
195,low,8,2,0.25,others,-3.605414152
197,low,8,2,0.25,others,-4.910101891
198,low,8,2,0.25,others,-1.542914152
199,low,8,2,0.25,others,-2.605414152
200,low,9,3,0.33,others,-3.838890553
202,low,9,3,0.33,others,-1.487328053
204,low,9,3,0.33,others,-3.838890553
205,low,9,3,0.33,others,-4.245140553
206,low,9,3,0.33,others,-2.612328053
207,low,9,3,0.33,others,-3.596703053
208,low,9,3,0.33,others,-3.034203053
209,low,9,3,0.33,others,-2.612328053
210,low,9,3,0.33,others,-2.612328053
211,low,9,3,0.33,others,-3.018578053
212,low,9,3,0.33,others,-2.612328053
213,low,9,3,0.33,others,-2.542015553
215,low,9,3,0.33,others,-1.487328053
216,low,9,3,0.33,others,-4.127953053
217,low,9,3,0.33,others,-2.909203053
218,low,9,3,0.33,others,-2.542015553
219,low,9,3,0.33,others,-2.612328053
221,low,9,3,0.33,others,-1.487328053
222,low,9,3,0.33,others,-1.487328053
223,low,9,3,0.33,others,-1.487328053
224,low,9,3,0.33,others,-2.573265553
225,low,9,3,0.33,others,-3.792015553
226,low,9,3,0.33,others,-2.612328053
227,low,9,3,0.33,others,-1.487328053
228,low,9,3,0.33,others,-4.846703053
229,low,9,3,0.33,others,-3.596703053
230,low,9,3,0.33,others,-1.487328053
231,low,9,3,0.33,others,-2.542015553
232,low,9,3,0.33,others,-1.487328053
234,low,9,3,0.33,others,-4.698265553
235,low,9,3,0.33,others,-2.573265553
236,low,9,3,0.33,others,-4.760765553
237,low,9,3,0.33,others,-4.245140553
238,low,9,3,0.33,others,-4.393578053
239,low,9,3,0.33,others,-2.542015553
240,low,9,3,0.33,others,-2.573265553
241,low,9,3,0.33,others,-4.651390553
242,low,9,3,0.33,others,-2.542015553
243,low,9,3,0.33,others,-2.573265553
244,low,9,3,0.33,others,-1.487328053
245,low,9,3,0.33,others,-2.573265553
246,low,9,3,0.33,others,-3.034203053
247,low,9,3,0.33,others,-3.768578053
248,low,9,3,0.33,others,-2.542015553
250,low,9,3,0.33,others,-3.018578053
251,low,9,3,0.33,others,-4.846703053
252,low,9,3,0.33,others,-3.792015553
253,low,9,3,0.33,others,-3.581078053
254,low,9,3,0.33,others,-1.487328053
255,low,9,3,0.33,others,-3.792015553
256,low,9,3,0.33,others,-2.612328053
257,low,9,3,0.33,others,-3.018578053
258,low,9,3,0.33,others,-2.612328053
259,low,9,3,0.33,others,-3.018578053
260,low,9,3,0.33,others,-3.596703053
261,low,9,3,0.33,others,-1.487328053
262,low,9,3,0.33,others,-1.487328053
264,low,9,3,0.33,others,-2.542015553
265,low,9,3,0.33,others,-1.487328053
266,low,9,3,0.33,others,-1.487328053
267,low,9,3,0.33,others,-3.034203053
268,low,9,3,0.33,others,-2.573265553
269,low,9,3,0.33,others,-2.573265553
271,low,9,3,0.33,others,-4.760765553
272,low,9,3,0.33,others,-4.127953053
273,low,9,3,0.33,others,-3.596703053
274,low,9,3,0.33,others,-3.596703053
275,low,9,3,0.33,others,-1.487328053
276,low,9,3,0.33,others,-1.487328053
277,low,9,3,0.33,others,-2.573265553
278,low,9,3,0.33,others,-4.909203053
279,low,9,3,0.33,others,-3.034203053
280,low,9,3,0.33,others,-1.487328053
281,low,9,3,0.33,others,-2.542015553
282,low,9,3,0.33,others,-2.573265553
283,low,9,3,0.33,others,-1.487328053
284,low,9,3,0.33,others,-4.245140553
285,low,9,3,0.33,others,-2.612328053
286,low,9,3,0.33,others,-2.909203053
287,low,9,3,0.33,others,-3.838890553
289,low,9,3,0.33,others,-1.487328053
290,low,9,3,0.33,others,-1.487328053
291,low,9,3,0.33,others,-1.487328053
292,low,9,3,0.33,others,-1.487328053
293,low,9,3,0.33,others,-2.542015553
294,low,9,3,0.33,others,-1.487328053
295,low,9,3,0.33,others,-1.487328053
296,low,9,3,0.33,others,-3.018578053
297,low,9,3,0.33,others,-3.581078053
299,low,9,3,0.33,others,-3.034203053
301,low,8,4,0.5,others,-1.484011173
302,low,8,4,0.5,others,-1.484011173
304,low,8,4,0.5,others,-4.187136173
305,low,8,4,0.5,others,-3.062136173
306,low,8,4,0.5,others,-1.484011173
307,low,8,4,0.5,others,-2.609011173
308,low,8,4,0.5,others,-3.577761173
309,low,8,4,0.5,others,-1.484011173
310,low,8,4,0.5,others,-1.484011173
311,low,8,4,0.5,others,-3.609011173
312,low,8,4,0.5,others,-2.601198673
313,low,8,4,0.5,others,-2.609011173
314,low,8,4,0.5,others,-3.843386173
315,low,8,4,0.5,others,-2.609011173
317,low,8,4,0.5,others,-2.562136173
318,low,8,4,0.5,others,-1.484011173
320,low,8,4,0.5,others,-3.062136173
321,low,8,4,0.5,others,-1.484011173
322,low,8,4,0.5,others,-4.855104923
323,low,8,4,0.5,others,-4.929323673
324,low,8,4,0.5,others,-4.648073673
325,low,8,4,0.5,others,-4.124636173
326,low,8,4,0.5,others,-2.898073673
327,low,8,4,0.5,others,-2.562136173
328,low,8,4,0.5,others,-2.562136173
329,low,8,4,0.5,others,-1.484011173
331,low,8,4,0.5,others,-3.734011173
332,low,8,4,0.5,others,-1.484011173
334,low,8,4,0.5,others,-1.484011173
335,low,8,4,0.5,others,-2.609011173
336,low,8,4,0.5,others,-4.530886173
337,low,8,4,0.5,others,-3.937136173
338,low,8,4,0.5,others,-2.601198673
339,low,8,4,0.5,others,-2.898073673
340,low,8,4,0.5,others,-1.484011173
341,low,8,4,0.5,others,-4.210573673
342,low,8,4,0.5,others,-2.898073673
343,low,8,4,0.5,others,-2.898073673
344,low,8,4,0.5,others,-4.749636173
345,low,8,4,0.5,others,-1.484011173
346,low,8,4,0.5,others,-1.484011173
347,low,8,4,0.5,others,-4.187136173
348,low,8,4,0.5,others,-2.609011173
349,low,8,4,0.5,others,-1.484011173
350,low,8,4,0.5,others,-2.609011173
351,low,8,4,0.5,others,-1.484011173
352,low,8,4,0.5,others,-1.484011173
353,low,8,4,0.5,others,-3.007448673
354,low,8,4,0.5,others,-1.484011173
355,low,8,4,0.5,others,-2.609011173
356,low,8,4,0.5,others,-4.210573673
357,low,8,4,0.5,others,-1.484011173
358,low,8,4,0.5,others,-4.655886173
359,low,8,4,0.5,others,-2.898073673
361,low,8,4,0.5,others,-2.562136173
362,low,8,4,0.5,others,-3.843386173
363,low,8,4,0.5,others,-2.898073673
364,low,8,4,0.5,others,-1.484011173
365,low,8,4,0.5,others,-4.929323673
366,low,8,4,0.5,others,-2.562136173
367,low,8,4,0.5,others,-1.484011173
368,low,8,4,0.5,others,-2.609011173
369,low,8,4,0.5,others,-2.562136173
370,low,8,4,0.5,others,-2.898073673
371,low,8,4,0.5,others,-3.577761173
372,low,8,4,0.5,others,-2.562136173
373,low,8,4,0.5,others,-1.484011173
374,low,8,4,0.5,others,-2.609011173
375,low,8,4,0.5,others,-1.484011173
376,low,8,4,0.5,others,-2.898073673
377,low,8,4,0.5,others,-3.007448673
378,low,8,4,0.5,others,-1.484011173
380,low,8,4,0.5,others,-3.734011173
381,low,8,4,0.5,others,-1.484011173
382,low,8,4,0.5,others,-3.609011173
383,low,8,4,0.5,others,-2.609011173
384,low,8,4,0.5,others,-2.609011173
385,low,8,4,0.5,others,-3.843386173
386,low,8,4,0.5,others,-2.562136173
387,low,8,4,0.5,others,-3.609011173
388,low,8,4,0.5,others,-2.898073673
389,low,8,4,0.5,others,-2.898073673
390,low,8,4,0.5,others,-3.577761173
391,low,8,4,0.5,others,-1.484011173
392,low,8,4,0.5,others,-1.484011173
393,low,8,4,0.5,others,-3.734011173
394,low,8,4,0.5,others,-1.484011173
395,low,8,4,0.5,others,-1.484011173
396,low,8,4,0.5,others,-2.601198673
397,low,8,4,0.5,others,-2.898073673
398,low,8,4,0.5,others,-1.484011173
399,low,8,4,0.5,others,-3.007448673
400,low,9,6,0.67,others,-4.526231766
401,low,9,6,0.67,others,-1.518419385
402,low,9,6,0.67,others,-1.518419385
403,low,9,6,0.67,others,-2.612169266
404,low,9,6,0.67,others,-3.784044266
405,low,9,6,0.67,others,-3.002794266
407,low,9,6,0.67,others,-2.549669266
408,low,9,6,0.67,others,-1.518419385
409,low,9,6,0.67,others,-2.612169266
410,low,9,6,0.67,others,-2.565294266
411,low,9,6,0.67,others,-2.549669266
412,low,9,6,0.67,others,-2.869981766
413,low,9,6,0.67,others,-4.909044266
414,low,9,6,0.67,others,-4.127794266
415,low,9,6,0.67,others,-4.127794266
416,low,9,6,0.67,others,-4.393419266
418,low,9,6,0.67,others,-1.518419385
419,low,9,6,0.67,others,-3.784044266
420,low,9,6,0.67,others,-3.752794266
422,low,9,6,0.67,others,-2.565294266
423,low,9,6,0.67,others,-2.565294266
424,low,9,6,0.67,others,-3.573106766
425,low,9,6,0.67,others,-1.518419385
426,low,9,6,0.67,others,-1.518419385
427,low,9,6,0.67,others,-2.612169266
428,low,9,6,0.67,others,-1.518419385
429,low,9,6,0.67,others,-1.518419385
430,low,9,6,0.67,others,-3.018419266
431,low,9,6,0.67,others,-2.565294266
432,low,9,6,0.67,others,-1.518419385
433,low,9,6,0.67,others,-4.127794266
434,low,9,6,0.67,others,-1.518419385
435,low,9,6,0.67,others,-1.518419385
436,low,9,6,0.67,others,-3.838731766
437,low,9,6,0.67,others,-2.565294266
438,low,9,6,0.67,others,-3.588731766
439,low,9,6,0.67,others,-2.612169266
440,low,9,6,0.67,others,-2.565294266
441,low,9,6,0.67,others,-4.221544266
442,low,9,6,0.67,others,-1.518419385
443,low,9,6,0.67,others,-2.869981766
444,low,9,6,0.67,others,-3.838731766
445,low,9,6,0.67,others,-2.549669266
446,low,9,6,0.67,others,-4.674669266
447,low,9,6,0.67,others,-4.674669266
448,low,9,6,0.67,others,-1.518419385
449,low,9,6,0.67,others,-3.002794266
450,low,9,6,0.67,others,-2.549669266
451,low,9,6,0.67,others,-2.549669266
452,low,9,6,0.67,others,-1.518419385
453,low,9,6,0.67,others,-3.002794266
454,low,9,6,0.67,others,-2.612169266
455,low,9,6,0.67,others,-3.002794266
456,low,9,6,0.67,others,-1.518419385
457,low,9,6,0.67,others,-3.784044266
459,low,9,6,0.67,others,-2.549669266
460,low,9,6,0.67,others,-4.635606766
462,low,9,6,0.67,others,-4.237169266
463,low,9,6,0.67,others,-1.518419385
464,low,9,6,0.67,others,-2.869981766
465,low,9,6,0.67,others,-1.518419385
468,low,9,6,0.67,others,-1.518419385
470,low,9,6,0.67,others,-2.612169266
471,low,9,6,0.67,others,-3.838731766
472,low,9,6,0.67,others,-3.924669266
473,low,9,6,0.67,others,-4.635606766
475,low,9,6,0.67,others,-3.838731766
476,low,9,6,0.67,others,-4.221544266
477,low,9,6,0.67,others,-2.565294266
479,low,9,6,0.67,others,-3.018419266
480,low,9,6,0.67,others,-3.588731766
481,low,9,6,0.67,others,-4.635606766
482,low,9,6,0.67,others,-1.518419385
483,low,9,6,0.67,others,-4.909044266
485,low,9,6,0.67,others,-3.573106766
486,low,9,6,0.67,others,-1.518419385
487,low,9,6,0.67,others,-4.237169266
488,low,9,6,0.67,others,-2.565294266
489,low,9,6,0.67,others,-1.518419385
491,low,9,6,0.67,others,-2.869981766
493,low,9,6,0.67,others,-1.518419385
494,low,9,6,0.67,others,-2.612169266
495,low,9,6,0.67,others,-2.612169266
496,low,9,6,0.67,others,-1.518419385
497,low,9,6,0.67,others,-3.588731766
498,low,9,6,0.67,others,-2.869981766
499,low,9,6,0.67,others,-1.518419385
500,low,8,6,0.75,others,-4.13952446
501,low,8,6,0.75,others,-2.56139946
502,low,8,6,0.75,others,-3.83483696
503,low,8,6,0.75,others,-3.79577446
504,low,8,6,0.75,others,-1.530149579
505,low,8,6,0.75,others,-1.530149579
506,low,8,6,0.75,others,-1.530149579
507,low,8,6,0.75,others,-2.60046196
508,low,8,6,0.75,others,-2.60046196
509,low,8,6,0.75,others,-2.60046196
510,low,8,6,0.75,others,-4.57702446
511,low,8,6,0.75,others,-2.56139946
512,low,8,6,0.75,others,-3.59264946
513,low,8,6,0.75,others,-2.58483696
514,low,8,6,0.75,others,-2.60046196
515,low,8,6,0.75,others,-1.530149579
516,low,8,6,0.75,others,-2.56139946
517,low,8,6,0.75,others,-3.56139946
518,low,8,6,0.75,others,-3.59264946
519,low,8,6,0.75,others,-1.530149579
520,low,8,6,0.75,others,-2.56139946
521,low,8,6,0.75,others,-3.92077446
523,low,8,6,0.75,others,-1.530149579
525,low,8,6,0.75,others,-1.530149579
526,low,8,6,0.75,others,-1.530149579
527,low,8,6,0.75,others,-2.58483696
528,low,8,6,0.75,others,-1.530149579
529,low,8,6,0.75,others,-3.79577446
530,low,8,6,0.75,others,-3.56139946
531,low,8,6,0.75,others,-1.530149579
532,low,8,6,0.75,others,-2.89733696
533,low,8,6,0.75,others,-3.59264946
534,low,8,6,0.75,others,-1.530149579
535,low,8,6,0.75,others,-2.56139946
536,low,8,6,0.75,others,-3.59264946
539,low,8,6,0.75,others,-1.530149579
540,low,8,6,0.75,others,-2.60046196
541,low,8,6,0.75,others,-2.89733696
542,low,8,6,0.75,others,-1.530149579
543,low,8,6,0.75,others,-2.56139946
544,low,8,6,0.75,others,-3.59264946
546,low,8,6,0.75,others,-3.59264946
547,low,8,6,0.75,others,-3.83483696
548,low,8,6,0.75,others,-2.60046196
549,low,8,6,0.75,others,-2.58483696
550,low,8,6,0.75,others,-2.99889946
551,low,8,6,0.75,others,-2.99889946
552,low,8,6,0.75,others,-2.56139946
553,low,8,6,0.75,others,-2.56139946
555,low,8,6,0.75,others,-3.56139946
556,low,8,6,0.75,others,-1.530149579
557,low,8,6,0.75,others,-2.56139946
558,low,8,6,0.75,others,-1.530149579
559,low,8,6,0.75,others,-2.60046196
560,low,8,6,0.75,others,-3.79577446
561,low,8,6,0.75,others,-4.22546196
562,low,8,6,0.75,others,-1.530149579
563,low,8,6,0.75,others,-2.60046196
564,low,8,6,0.75,others,-1.530149579
565,low,8,6,0.75,others,-3.56139946
566,low,8,6,0.75,others,-4.53014946
567,low,8,6,0.75,others,-4.67858696
568,low,8,6,0.75,others,-1.530149579
569,low,8,6,0.75,others,-1.530149579
571,low,8,6,0.75,others,-3.03014946
572,low,8,6,0.75,others,-2.58483696
573,low,8,6,0.75,others,-3.03014946
575,low,8,6,0.75,others,-3.68639946
576,low,8,6,0.75,others,-1.530149579
577,low,8,6,0.75,others,-4.39733696
578,low,8,6,0.75,others,-4.22546196
579,low,8,6,0.75,others,-1.530149579
580,low,8,6,0.75,others,-3.92077446
581,low,8,6,0.75,others,-1.530149579
582,low,8,6,0.75,others,-4.13171196
583,low,8,6,0.75,others,-2.56139946
585,low,8,6,0.75,others,-2.99889946
586,low,8,6,0.75,others,-2.89733696
587,low,8,6,0.75,others,-3.83483696
588,low,8,6,0.75,others,-2.60046196
590,low,8,6,0.75,others,-3.03014946
591,low,8,6,0.75,others,-2.56139946
592,low,8,6,0.75,others,-4.53014946
593,low,8,6,0.75,others,-3.83483696
594,low,8,6,0.75,others,-2.60046196
595,low,8,6,0.75,others,-1.530149579
596,low,8,6,0.75,others,-2.56139946
597,low,8,6,0.75,others,-1.530149579
598,low,8,6,0.75,others,-1.530149579
599,low,8,6,0.75,others,-3.59264946
600,low,10,10,1,others,-4.790214062
601,low,10,10,1,others,-3.008964062
603,low,10,10,1,others,-2.657401562
604,low,10,10,1,others,-1.399589062
605,low,10,10,1,others,-3.555839062
606,low,10,10,1,others,-1.399589062
608,low,10,10,1,others,-1.399589062
609,low,10,10,1,others,-1.399589062
610,low,10,10,1,others,-2.555839062
611,low,10,10,1,others,-2.657401562
612,low,10,10,1,others,-1.399589062
614,low,10,10,1,others,-4.665214062
615,low,10,10,1,others,-3.055839062
616,low,10,10,1,others,-3.055839062
618,low,10,10,1,others,-4.251151562
620,low,10,10,1,others,-1.399589062
621,low,10,10,1,others,-2.555839062
622,low,10,10,1,others,-1.399589062
623,low,10,10,1,others,-1.399589062
624,low,10,10,1,others,-2.657401562
625,low,10,10,1,others,-1.399589062
626,low,10,10,1,others,-3.555839062
627,low,10,10,1,others,-3.977714062
628,low,10,10,1,others,-2.626151562
629,low,10,10,1,others,-3.977714062
630,low,10,10,1,others,-2.626151562
631,low,10,10,1,others,-2.657401562
632,low,10,10,1,others,-1.399589062
633,low,10,10,1,others,-2.923026562
634,low,10,10,1,others,-2.626151562
635,low,10,10,1,others,-2.555839062
636,low,10,10,1,others,-3.008964062
638,low,10,10,1,others,-3.977714062
639,low,10,10,1,others,-3.008964062
640,low,10,10,1,others,-2.923026562
641,low,10,10,1,others,-1.399589062
642,low,10,10,1,others,-2.626151562
643,low,10,10,1,others,-1.399589062
644,low,10,10,1,others,-3.555839062
645,low,10,10,1,others,-3.563651562
646,low,10,10,1,others,-2.555839062
647,low,10,10,1,others,-1.399589062
648,low,10,10,1,others,-3.055839062
650,low,10,10,1,others,-1.399589062
652,low,10,10,1,others,-1.399589062
653,low,10,10,1,others,-3.790214062
654,low,10,10,1,others,-4.204276562
655,low,10,10,1,others,-2.555839062
656,low,10,10,1,others,-3.055839062
657,low,10,10,1,others,-4.204276562
658,low,10,10,1,others,-1.399589062
659,low,10,10,1,others,-3.977714062
660,low,10,10,1,others,-2.555839062
661,low,10,10,1,others,-4.555839062
663,low,10,10,1,others,-3.555839062
664,low,10,10,1,others,-4.423026562
666,low,10,10,1,others,-2.657401562
667,low,10,10,1,others,-4.532401562
668,low,10,10,1,others,-2.626151562
669,low,10,10,1,others,-3.055839062
670,low,10,10,1,others,-3.055839062
672,low,10,10,1,others,-3.055839062
673,low,10,10,1,others,-2.626151562
674,low,10,10,1,others,-3.555839062
675,low,10,10,1,others,-2.555839062
676,low,10,10,1,others,-2.555839062
677,low,10,10,1,others,-3.008964062
679,low,10,10,1,others,-2.657401562
680,low,10,10,1,others,-3.563651562
681,low,10,10,1,others,-2.657401562
683,low,10,10,1,others,-3.563651562
684,low,10,10,1,others,-3.751151562
685,low,10,10,1,others,-2.555839062
686,low,10,10,1,others,-1.399589062
687,low,10,10,1,others,-2.626151562
688,low,10,10,1,others,-3.790214062
689,low,10,10,1,others,-2.657401562
691,low,10,10,1,others,-2.923026562
692,low,10,10,1,others,-3.977714062
693,low,10,10,1,others,-1.399589062
695,low,10,10,1,others,-2.923026562
696,low,10,10,1,others,-4.204276562
697,low,10,10,1,others,-2.657401562
698,low,10,10,1,others,-1.399589062
699,low,10,10,1,others,-2.923026562
701,high,2,0,0,others,-1.507034659
702,high,2,0,0,others,-3.827347279
703,high,2,0,0,others,-2.639847279
704,high,2,0,0,others,-2.616409779
705,high,2,0,0,others,-2.967972279
706,high,2,0,0,others,-1.507034659
707,high,2,0,0,others,-1.507034659
708,high,2,0,0,others,-2.639847279
709,high,2,0,0,others,-1.507034659
710,high,2,0,0,others,-3.007034779
711,high,2,0,0,others,-2.967972279
712,high,2,0,0,others,-2.749222279
713,high,2,0,0,others,-2.616409779
714,high,2,0,0,others,-2.522659779
715,high,2,0,0,others,-1.507034659
716,high,2,0,0,others,-3.007034779
718,high,2,0,0,others,-1.507034659
719,high,2,0,0,others,-2.639847279
720,high,2,0,0,others,-4.647659779
721,high,2,0,0,others,-2.749222279
722,high,2,0,0,others,-2.749222279
723,high,2,0,0,others,-3.632034779
724,high,2,0,0,others,-3.007034779
725,high,2,0,0,others,-1.507034659
726,high,2,0,0,others,-1.507034659
727,high,2,0,0,others,-4.280472279
728,high,2,0,0,others,-2.749222279
729,high,2,0,0,others,-1.507034659
730,high,2,0,0,others,-2.749222279
731,high,2,0,0,others,-4.647659779
732,high,2,0,0,others,-2.616409779
733,high,2,0,0,others,-4.776566029
735,high,2,0,0,others,-4.499222279
736,high,2,0,0,others,-2.639847279
737,high,2,0,0,others,-4.647659779
738,high,2,0,0,others,-3.007034779
740,high,2,0,0,others,-3.827347279
741,high,2,0,0,others,-4.085159779
742,high,2,0,0,others,-2.522659779
743,high,2,0,0,others,-1.507034659
744,high,2,0,0,others,-2.616409779
745,high,2,0,0,others,-2.522659779
746,high,2,0,0,others,-4.823441029
747,high,2,0,0,others,-3.007034779
748,high,2,0,0,others,-3.600784779
749,high,2,0,0,others,-2.639847279
750,high,2,0,0,others,-2.967972279
751,high,2,0,0,others,-2.616409779
752,high,2,0,0,others,-2.639847279
754,high,2,0,0,others,-4.085159779
755,high,2,0,0,others,-1.507034659
757,high,2,0,0,others,-4.499222279
758,high,2,0,0,others,-2.616409779
759,high,2,0,0,others,-1.507034659
760,high,2,0,0,others,-1.507034659
761,high,2,0,0,others,-3.819534779
762,high,2,0,0,others,-1.507034659
763,high,2,0,0,others,-1.507034659
765,high,2,0,0,others,-2.522659779
766,high,2,0,0,others,-1.507034659
767,high,2,0,0,others,-3.007034779
768,high,2,0,0,others,-3.827347279
769,high,2,0,0,others,-2.522659779
770,high,2,0,0,others,-3.600784779
771,high,2,0,0,others,-2.522659779
772,high,2,0,0,others,-2.749222279
773,high,2,0,0,others,-1.507034659
774,high,2,0,0,others,-1.507034659
775,high,2,0,0,others,-3.600784779
776,high,2,0,0,others,-2.522659779
777,high,2,0,0,others,-2.967972279
778,high,2,0,0,others,-2.639847279
